Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
SMART ForTwo Coupe,.9,3,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GMBXV00.9U2A,small car,7,32,39,35,8,Yes
SMART ForTwo Coupe,.9,3,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,GMBXV00.9U2A,small car,7,32,39,35,8,Yes
SMART ForTwo Coupe,N/A,N/A,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GMBXV00.0ED1,small car,10,122,93,107,10,Elite
SMART ForTwo Coupe,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GMBXV00.0ED1,small car,10,122,93,107,10,Elite
SUBARU Crosstrek,2,4,SCV-6,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5NKR,small SUV,6,26,34,29,7,Yes
SUBARU Crosstrek,2,4,SCV-6,4WD,Gasoline,CA,PZEV,California PZEV,GFJXJ02.5NKR,small SUV,9,26,34,29,7,Yes
SUBARU Crosstrek Hybrid,2,4,SCV-6,4WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GFJXT02.0GNS,small SUV,7,30,34,31,7,Yes
SUBARU Crosstrek Hybrid,2,4,SCV-6,4WD,Gasoline,CA,PZEV,California PZEV,GFJXT02.0GNS,small SUV,9,30,34,31,7,Yes
SUBARU Impreza,2,4,Man-5,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5NKR,small car,6,25,34,28,7,Yes
SUBARU Impreza,2,4,Man-5,4WD,Gasoline,CA,PZEV,California PZEV,GFJXJ02.5NKR,small car,9,25,34,28,7,Yes
SUBARU Impreza,2,4,SCV-6,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5NKR,small car,6,28,37,31,7,Yes
SUBARU Impreza,2,4,SCV-6,4WD,Gasoline,CA,PZEV,California PZEV,GFJXJ02.5NKR,small car,9,28,37,31,7,Yes
SUBARU Impreza Sport,2,4,Man-5,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5NKR,station wagon,6,24,33,28,7,Yes
SUBARU Impreza Sport,2,4,Man-5,4WD,Gasoline,CA,PZEV,California PZEV,GFJXJ02.5NKR,station wagon,9,24,33,28,7,Yes
SUBARU Impreza Sport,2,4,SCV-6,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5NKR,station wagon,6,27,36,31,7,Yes
SUBARU Impreza Sport,2,4,SCV-6,4WD,Gasoline,CA,PZEV,California PZEV,GFJXJ02.5NKR,station wagon,9,27,36,31,7,Yes
SUBARU Impreza Wagon,2,4,Man-5,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5NKR,station wagon,6,25,34,28,7,Yes
